test_case,call_number,latency_in_seconds
FAKE,1,0.3551366329193115
FAKE,2,0.04708361625671387
FAKE,3,0.062458038330078125
FAKE,4,0.06849360466003418
FAKE,5,0.0639338493347168
FAKE,6,0.06506705284118652
FAKE,7,0.07569026947021484
FAKE,8,0.0630652904510498
FAKE,9,0.04659700393676758
FAKE,10,0.07833170890808105
FAKE,11,0.053032636642456055
FAKE,12,0.04430651664733887
FAKE,13,0.061882734298706055
FAKE,14,0.047077178955078125
FAKE,15,0.0629587173461914
FAKE,16,0.04465651512145996
FAKE,17,0.06298303604125977
FAKE,18,0.046922922134399414
FAKE,19,0.04875326156616211
FAKE,20,0.042005062103271484
FAKE,21,0.06298685073852539
FAKE,22,0.05372500419616699
FAKE,23,0.04807472229003906
FAKE,24,0.05550408363342285
FAKE,25,0.04715228080749512
FAKE,26,0.06360912322998047
FAKE,27,0.04690194129943848
FAKE,28,0.06283092498779297
FAKE,29,0.06357026100158691
FAKE,30,0.047747135162353516
FAKE,31,0.06326651573181152
FAKE,32,0.048219919204711914
FAKE,33,0.07887625694274902
FAKE,34,0.046999216079711914
FAKE,35,0.06253600120544434
FAKE,36,0.04721689224243164
FAKE,37,0.06282591819763184
FAKE,38,0.046868324279785156
FAKE,39,0.06397366523742676
FAKE,40,0.06002068519592285
FAKE,41,0.05129075050354004
FAKE,42,0.060727834701538086
FAKE,43,0.06261444091796875
FAKE,44,0.06417346000671387
FAKE,45,0.06030440330505371
FAKE,46,0.062197208404541016
FAKE,47,0.06157207489013672
FAKE,48,0.06142854690551758
FAKE,49,0.06662726402282715
FAKE,50,0.06370067596435547
FAKE,51,0.04691433906555176
FAKE,52,0.06296253204345703
FAKE,53,0.07857656478881836
FAKE,54,0.06253719329833984
FAKE,55,0.06343650817871094
FAKE,56,0.0552363395690918
FAKE,57,0.04683971405029297
FAKE,58,0.07027292251586914
FAKE,59,0.05608677864074707
FAKE,60,0.04731416702270508
FAKE,61,0.07864570617675781
FAKE,62,0.051280975341796875
FAKE,63,0.06648850440979004
FAKE,64,0.06017708778381348
FAKE,65,0.05580854415893555
FAKE,66,0.0469663143157959
FAKE,67,0.06406426429748535
FAKE,68,0.05504012107849121
FAKE,69,0.06341886520385742
FAKE,70,0.055403709411621094
FAKE,71,0.07066869735717773
FAKE,72,0.04374814033508301
FAKE,73,0.06339836120605469
FAKE,74,0.050391197204589844
FAKE,75,0.06074333190917969
FAKE,76,0.05939030647277832
FAKE,77,0.052465200424194336
FAKE,78,0.05871462821960449
FAKE,79,0.04831647872924805
FAKE,80,0.061997413635253906
FAKE,81,0.04684281349182129
FAKE,82,0.0629267692565918
FAKE,83,0.06318449974060059
FAKE,84,0.06298017501831055
FAKE,85,0.06551527976989746
FAKE,86,0.04224395751953125
FAKE,87,0.06296992301940918
FAKE,88,0.06548285484313965
FAKE,89,0.061756134033203125
FAKE,90,0.06255698204040527
FAKE,91,0.047319650650024414
FAKE,92,0.06271529197692871
FAKE,93,0.0488896369934082
FAKE,94,0.061525821685791016
FAKE,95,0.06965327262878418
FAKE,96,0.06275033950805664
FAKE,97,0.06136918067932129
FAKE,98,0.04761505126953125
FAKE,99,0.06234002113342285
FAKE,100,0.04741334915161133
FAKE,1,0.0684518814086914
FAKE,2,0.0567173957824707
FAKE,3,0.04776716232299805
FAKE,4,0.04854941368103027
FAKE,5,0.06331181526184082
FAKE,6,0.04733753204345703
FAKE,7,0.06288361549377441
FAKE,8,0.06295943260192871
FAKE,9,0.04736471176147461
FAKE,10,0.06291532516479492
FAKE,11,0.04712939262390137
FAKE,12,0.06260561943054199
FAKE,13,0.06615805625915527
FAKE,14,0.060950279235839844
FAKE,15,0.06492018699645996
FAKE,16,0.0605466365814209
FAKE,17,0.04684042930603027
FAKE,18,0.06262874603271484
FAKE,19,0.0628974437713623
FAKE,20,0.04687190055847168
FAKE,21,0.06246757507324219
FAKE,22,0.05901813507080078
FAKE,23,0.051813602447509766
FAKE,24,0.06294655799865723
FAKE,25,0.06650710105895996
FAKE,26,0.06181073188781738
FAKE,27,0.05576038360595703
FAKE,28,0.05310821533203125
FAKE,29,0.0527338981628418
FAKE,30,0.0631875991821289
FAKE,31,0.05502033233642578
FAKE,32,0.07874798774719238
FAKE,33,0.047074317932128906
FAKE,34,0.05732369422912598
FAKE,35,0.06275177001953125
FAKE,36,0.04689431190490723
FAKE,37,0.06265377998352051
FAKE,38,0.04740142822265625
FAKE,39,0.062476396560668945
FAKE,40,0.05059456825256348
FAKE,41,0.06507492065429688
FAKE,42,0.05816769599914551
FAKE,43,0.0602421760559082
FAKE,44,0.06514143943786621
FAKE,45,0.04600048065185547
FAKE,46,0.07192397117614746
FAKE,47,0.05355501174926758
FAKE,48,0.07816863059997559
FAKE,49,0.07978224754333496
FAKE,50,0.06104421615600586
FAKE,51,0.049553871154785156
FAKE,52,0.06261038780212402
FAKE,53,0.04740643501281738
FAKE,54,0.06250691413879395
FAKE,55,0.04756045341491699
FAKE,56,0.06294035911560059
FAKE,57,0.04690146446228027
FAKE,58,0.06483602523803711
FAKE,59,0.046311140060424805
FAKE,60,0.06331872940063477
FAKE,61,0.047406673431396484
FAKE,62,0.06316614151000977
FAKE,63,0.046999454498291016
FAKE,64,0.06356668472290039
FAKE,65,0.06287312507629395
FAKE,66,0.06059741973876953
FAKE,67,0.058917999267578125
FAKE,68,0.05060601234436035
FAKE,69,0.04817819595336914
FAKE,70,0.062033653259277344
FAKE,71,0.06325721740722656
FAKE,72,0.04788827896118164
FAKE,73,0.04638957977294922
FAKE,74,0.06303262710571289
FAKE,75,0.0630960464477539
FAKE,76,0.047247886657714844
FAKE,77,0.0527806282043457
FAKE,78,0.05584979057312012
FAKE,79,0.04700613021850586
FAKE,80,0.06267881393432617
FAKE,81,0.04679298400878906
FAKE,82,0.06295371055603027
FAKE,83,0.06433439254760742
FAKE,84,0.05813860893249512
FAKE,85,0.04912209510803223
FAKE,86,0.06423044204711914
FAKE,87,0.051184654235839844
FAKE,88,0.0667428970336914
FAKE,89,0.05462026596069336
FAKE,90,0.04746055603027344
FAKE,91,0.06309843063354492
FAKE,92,0.04729890823364258
FAKE,93,0.06257438659667969
FAKE,94,0.04762697219848633
FAKE,95,0.06250715255737305
FAKE,96,0.06083035469055176
FAKE,97,0.062068939208984375
FAKE,98,0.047002553939819336
FAKE,99,0.06303644180297852
FAKE,100,0.05565023422241211
REAL,1,0.054778337478637695
REAL,2,0.04702258110046387
REAL,3,0.06355023384094238
REAL,4,0.06299996376037598
REAL,5,0.05234074592590332
REAL,6,0.06084775924682617
REAL,7,0.05748438835144043
REAL,8,0.06315922737121582
REAL,9,0.04554295539855957
REAL,10,0.0631709098815918
REAL,11,0.0582432746887207
REAL,12,0.051931142807006836
REAL,13,0.06307363510131836
REAL,14,0.0492863655090332
REAL,15,0.05995535850524902
REAL,16,0.046997785568237305
REAL,17,0.06276297569274902
REAL,18,0.0624997615814209
REAL,19,0.04691123962402344
REAL,20,0.06314349174499512
REAL,21,0.06339645385742188
REAL,22,0.04711270332336426
REAL,23,0.06242084503173828
REAL,24,0.06370067596435547
REAL,25,0.05834221839904785
REAL,26,0.05930685997009277
REAL,27,0.05080270767211914
REAL,28,0.04733705520629883
REAL,29,0.06294441223144531
REAL,30,0.06240987777709961
REAL,31,0.06281495094299316
REAL,32,0.05458498001098633
REAL,33,0.050000905990600586
REAL,34,0.055399417877197266
REAL,35,0.06252646446228027
REAL,36,0.06306600570678711
REAL,37,0.06248927116394043
REAL,38,0.05692911148071289
REAL,39,0.05342864990234375
REAL,40,0.04700946807861328
REAL,41,0.06388568878173828
REAL,42,0.05170130729675293
REAL,43,0.0562896728515625
REAL,44,0.06263113021850586
REAL,45,0.047565460205078125
REAL,46,0.06240272521972656
REAL,47,0.04694032669067383
REAL,48,0.06944656372070312
